Assessment ID,Campaign Name,Assessment Date,Vendor ID,Vendor Name,Service Category,Scope Fully Delivered (Y/N),Scope Notes,Quality Rating (1-5),Quality Notes,Timeline Rating (1-5),Timeline Notes,Communication Rating (1-5),Communication Notes,Issue Handling Rating (1-5),Issue Handling Notes,Overall Score (1-5),Recommended for Future (Y/N),Preferred Vendor Update,Action Required,Assessor
A-001,Campaign A,18/03/2024,V-001,Apex Audio Visual,Audio-Visual Equipment & Technical,Y,All AV equipment delivered and operational as per scope,5,Excellent output quality - zero technical failures during event,5,Arrived 30 mins ahead of schedule - setup completed well within window,4,Responsive throughout - minor delay in confirming final equipment list,5,Minor cable issue resolved within 10 minutes without escalation,5,Y,Confirm as Preferred Vendor,None - flag for priority booking on future large-scale events,D. Ekanayake
A-002,Campaign A,18/03/2024,V-005,Elite Staffing Solutions,Promotional Staff & Brand Ambassadors,Y,Correct headcount delivered - staff presentation acceptable,3,Some staff required additional briefing on-site - product knowledge gaps noted,4,All staff present on time,3,Coordinator slow to respond to last-minute headcount adjustment request,3,Headcount shortfall of 2 flagged late - replacement arranged but caused delay,3,Y,No Change,Ensure detailed pre-event staff briefing is mandatory for future engagements,D. Ekanayake
A-003,Campaign A,18/03/2024,V-006,Pinnacle Fabrication,Event Structures & Display Fabrication,Y,All display structures delivered and installed to specification,5,Build quality exceptional - received positive client feedback,4,Delivered on schedule - installation took slightly longer than estimated,4,Clear communication throughout production phase,4,Minor structural adjustment required on-site - resolved without disruption,5,Y,Confirm as Preferred Vendor,Factor additional 1-hour installation buffer into future campaign schedules,D. Ekanayake
A-004,Campaign B,22/06/2024,V-003,FastTrack Logistics,Transport & Delivery,Y,All deliveries completed across all campaign sites,5,Products delivered in excellent condition - cold-chain maintained throughout,5,All deliveries on schedule - one site received early which was accommodated,5,Proactive communication - provided live updates on delivery status,5,Traffic delay on Route 2 communicated immediately - rerouting arranged without impact,5,Y,Confirm as Preferred Vendor,None - benchmark standard for logistics vendors,D. Ekanayake
A-005,Campaign B,22/06/2024,V-010,ProSound Audio,PA Systems & Sound Engineering,N,PA system delivered late - sound check incomplete at campaign start,2,Audio quality acceptable once operational but delayed setup impacted opening,2,Arrived 45 minutes late - campaign start delayed by 20 minutes,2,Did not communicate delay proactively - operations team had to follow up repeatedly,2,Attempted to resolve quickly once on-site but damage to opening already done,2,N,Place Under Review,Issue formal notice - schedule review meeting before considering future engagement,D. Ekanayake
A-006,Campaign C,10/09/2024,V-004,CoolStore Facilities,Cold Storage & Warehousing,Y,All cold storage requirements met across campaign duration,4,Facility well-maintained and temperature logs provided without request,4,Stock available for collection as scheduled throughout campaign,4,Prompt responses to all queries - proactive expiry flag on one batch appreciated,5,Identified near-expiry batch proactively and notified operations team with 48hrs notice,4,Y,No Change,None - continue current engagement terms,D. Ekanayake
A-007,Campaign C,10/09/2024,V-007,GreenLeaf Catering,Catering & Refreshments,Y,Catering delivered but quantity fell short on Day 2,3,Food quality good - presentation acceptable,3,Setup on time - Day 2 replenishment arrived 40 minutes late,3,Did not flag Day 2 quantity concern until morning of - insufficient notice,2,Managed shortfall by reducing portion sizes - client noticed and raised concern,3,N,No Change,Require confirmed Day 2 quantities 72 hours in advance for future engagements - monitor closely,D. Ekanayake
A-008,Campaign D,5/11/2024,V-011,Island Generators,Power Supply & Generator Hire,Y,Full power supply maintained across entire campaign duration,5,Zero power interruptions - backup unit tested and operational as required,5,Equipment on-site and operational 2 hours ahead of schedule,4,Clear and professional communication throughout,5,Minor fuel level query raised and resolved immediately - no operational impact,5,Y,Confirm as Preferred Vendor,None - critical infrastructure vendor performing at highest standard,D. Ekanayake
A-009,Campaign E,14/02/2025,V-015,StarLight Photography,Event Photography & Videography,Y,Full event coverage delivered across all campaign phases,5,Exceptional image and video quality - client extremely satisfied with deliverables,5,On-site ahead of schedule - final edited deliverables submitted within agreed timeframe,5,Excellent communication throughout - proactive in confirming shot list and key moments,5,Weather issue on outdoor shoot handled creatively - no content gaps,5,Y,Confirm as Preferred Vendor,None - recommended for all future campaigns requiring photography and videography,D. Ekanayake
A-010,Campaign F,20/05/2025,V-002,Bright Print Solutions,Printing & Signage,Y,All printed materials delivered to specification,4,Print quality high - colour accuracy consistent across all materials,4,Delivered on time - slight delay on last batch communicated 24 hours in advance,3,Generally responsive but required follow-up on two occasions for status updates,4,Proactively identified a colour profile issue before final print run and sought approval,4,Y,No Change,Request proactive status updates at 50% and 90% production milestones for future orders,D. Ekanayake
