Vendor ID,Vendor Name,Service Category,Contact Person,Contact Number,Location,Rate (Approx),Currency,Lead Time (Days),Campaigns Used In,Performance Rating (1-5),Reliability Rating (1-5),Communication Rating (1-5),Overall Rating (1-5),Preferred Vendor,Status,Notes
V-001,Apex Audio Visual,Audio-Visual Equipment & Technical,Ruwan Fernando,XXXXXXXX,Colombo 03,Negotiable per event,LKR,7,"Campaign A, Campaign B, Campaign F",5,5,4,5,Yes,Active,Consistently reliable - priority vendor for large-scale AV requirements
V-002,Bright Print Solutions,Printing & Signage,Nimal Perera,XXXXXXXX,Colombo 10,Per sq ft - rate card held,LKR,5,"Campaign A, Campaign C",4,4,3,4,Yes,Active,Good quality - occasional communication delays but delivers on time
V-003,FastTrack Logistics,Transport & Delivery,Chamara Silva,XXXXXXXX,Negombo,Per km/load basis,LKR,2,"Campaign B, Campaign D, Campaign E",5,5,5,5,Yes,Active,Top performer - responsive and handles time-sensitive deliveries without issues
V-004,CoolStore Facilities,Cold Storage & Warehousing,Priya Jayawardena,XXXXXXXX,Wattala,Monthly/weekly rate,LKR,3,"Campaign C, Campaign D",4,4,4,4,Yes,Active,Reliable cold storage partner - FIFO compliant and good documentation standards
V-005,Elite Staffing Solutions,Promotional Staff & Brand Ambassadors,Dilani Wickrama,XXXXXXXX,Colombo 05,Per head per day,LKR,5,"Campaign A, Campaign B, Campaign C, Campaign E",4,3,4,4,No,Active,Good staff quality - require detailed briefing and close supervision on-site
V-006,Pinnacle Fabrication,Event Structures & Display Fabrication,Saman Rathnayake,XXXXXXXX,Homagama,Per project quotation,LKR,14,"Campaign A, Campaign F",5,4,4,5,Yes,Active,High quality fabrication - longer lead time requires early booking
V-007,GreenLeaf Catering,Catering & Refreshments,Malini Gunasekara,XXXXXXXX,Colombo 07,Per head basis,LKR,3,"Campaign B, Campaign C",3,3,3,3,No,Active,Acceptable quality - underperformed on Campaign C quantities - monitor closely
V-008,CityLight Media,Outdoor Media Spaces & Hoardings,Rohan Mendis,XXXXXXXX,Colombo 02,Per site per month,LKR,10,"Campaign D, Campaign E, Campaign F",4,4,5,4,Yes,Active,Strong location portfolio - good relationship with local authorities for permits
V-009,SwiftSet Events,Event Setup & Dismantling Crew,Ajith Bandara,XXXXXXXX,Kelaniya,Per crew per day,LKR,2,"Campaign C, Campaign E",4,5,3,4,No,Active,Efficient setup crew - communication could improve but operationally dependable
V-010,ProSound Audio,PA Systems & Sound Engineering,Kasun Liyanage,XXXXXXXX,Colombo 06,Per event basis,LKR,5,"Campaign A, Campaign B",3,3,2,3,No,Under Review,Delivered late on Campaign B - placed under review pending next engagement assessment
V-011,Island Generators,Power Supply & Generator Hire,Thilak Dissanayake,XXXXXXXX,Gampaha,Per day per unit,LKR,3,"Campaign D, Campaign F",5,5,4,5,Yes,Active,Critical infrastructure vendor - no failures across all engagements
V-012,Creative Displays,POS Materials & Branded Display Units,Nadeesha Cooray,XXXXXXXX,Colombo 04,Per unit/project,LKR,10,"Campaign E, Campaign F",4,4,4,4,Yes,Active,Good design capability and print quality - lead time must be factored into campaign planning
V-013,Horizon Security,Event Security Services,Pradeep Kumara,XXXXXXXX,Colombo 15,Per guard per shift,LKR,3,"Campaign A, Campaign C, Campaign F",4,5,4,4,Yes,Active,Professional and well-briefed - recommend for high-footfall events
V-014,RapidPack Supplies,Packaging & Consumable Supplies,Sumudu Rajapaksa,XXXXXXXX,Peliyagoda,Per order - rate card held,LKR,4,"Campaign B, Campaign D",4,4,4,4,No,Active,Reliable supply of consumables - competitive pricing on bulk orders
V-015,StarLight Photography,Event Photography & Videography,Ishara Fernando,XXXXXXXX,Colombo 03,Per event/half day/full day,LKR,5,"Campaign C, Campaign E",5,5,5,5,Yes,Active,Excellent output quality and highly professional on-site conduct - strongly recommended
